CD_GEOCMU,lat,long
"2927804",-14.891688,-39.814773
"2928059",-15.445550,-39.262411
"2929354",-15.073448,-39.353795
"2930006",-14.573409,-43.127285
"2931350",-17.424098,-39.786881
"2931806",-15.052830,-41.472598
"2932507",-15.233104,-39.148212
"2932606",-14.736562,-42.684008
"2932705",-14.527392,-39.231603
"2933257",-17.189142,-39.960140
"2933307",-14.974809,-40.902172
"3100104",-18.353174,-47.458991
"3100203",-19.102749,-45.358675
"3100302",-20.273172,-42.442634
"3100401",-20.399832,-43.101202
"3100500",-19.052635,-42.450744
"3100609",-18.027279,-42.275923
"3100708",-20.005459,-48.084198
"3100807",-20.973779,-45.422024
"3100906",-17.041643,-40.973905
"3101003",-15.683414,-41.521700
"3101102",-19.625176,-41.213940
"3101201",-21.954612,-44.647587
"3101300",-22.186620,-44.660634
"3101409",-22.198540,-46.613703
"3101508",-21.826449,-42.746464
"3101607",-21.388689,-45.966250
"3101631",-21.139043,-43.712510
"3101706",-16.091080,-40.723775
"3101805",-18.983743,-42.019204
"3101904",-20.859730,-46.377100
"3102001",-21.225215,-46.153605
"3102050",-20.458425,-41.864896
"3102100",-21.035761,-43.403399
"3102209",-19.419945,-41.695435
"3102308",-20.111811,-43.152509
"3102407",-18.779019,-43.367599
"3102506",-20.528182,-42.804934
"3102605",-22.075769,-46.554753
"3102704",-15.968512,-41.498001
"3102803",-21.738856,-44.269702
"3102852",-17.703241,-42.282835
"3102902",-21.410587,-43.766332
"3103009",-19.567066,-42.876357
"3103108",-21.022543,-42.152021
"3103207",-19.234842,-44.218444
"3103306",-21.350335,-43.403757
"3103405",-16.930782,-41.993175
"3103504",-18.577119,-48.222171
"3103603",-21.896927,-44.227178
"3103702",-20.662792,-42.498850
"3103751",-18.476989,-49.127319
"3103801",-19.041452,-46.115290
"3103900",-19.886413,-45.180967
"3104007",-19.636397,-46.972146
"3104106",-21.359471,-46.941940
"3104205",-20.259713,-45.547246
"3104304",-21.356020,-46.142272
"3104403",-21.635318,-42.832590
"3104452",-17.881104,-42.605562
"3104502",-15.750686,-45.988575
"3104601",-21.315494,-42.879319
"3104700",-18.163374,-41.151488
"3104809",-18.108840,-44.198057
"3104908",-22.016836,-44.822117
"3105004",-19.262936,-43.863416
"3105103",-20.110955,-45.998876
"3105202",-15.877677,-40.580969
"3105301",-21.724133,-46.384898
"3105400",-19.891747,-43.495496
"3105509",-21.264787,-42.278433
"3105608",-21.251514,-43.800626
"3105707",-20.275635,-43.066201
"3105905",-21.183229,-43.957817
"3106002",-19.798036,-43.105588
"3106101",-21.985805,-43.468733
"3106200",-19.902739,-43.959884
