,date,cases,deaths,casesNew,deathsNew,casesPer100K,deathsPer100K,dias,codigo_ibge,nome,nome_com_uf,frigorifico
1266,2020-06-18,14.0,1.0,0.0,0.0,195.8041958042,13.986013986,76.0,250780,Junco do Seridó (PB),JUNCO DO SERIDÓ (PB),
1267,2020-06-18,213.0,3.0,1.0,0.0,1980.2900706582,27.891409445900003,42.0,250790,Juripiranga (PB),JURIPIRANGA (PB),
1268,2020-06-18,9.0,0.0,0.0,0.0,91.2131346914,0.0,31.0,250800,Juru (PB),JURU (PB),
1269,2020-06-18,3.0,0.0,0.0,0.0,64.2948992713,0.0,30.0,250810,Lagoa (PB),LAGOA (PB),
1270,2020-06-18,11.0,0.0,0.0,0.0,142.5055058945,0.0,39.0,250820,Lagoa de Dentro (PB),LAGOA DE DENTRO (PB),
1271,2020-06-18,238.0,3.0,0.0,0.0,865.3601425299,10.9079009563,52.0,250830,Lagoa Seca (PB),LAGOA SECA (PB),
1272,2020-06-18,9.0,0.0,0.0,0.0,328.8271830471,0.0,34.0,250840,Lastro (PB),LASTRO (PB),
1273,2020-06-18,7.0,0.0,0.0,0.0,96.47188533629999,0.0,9.0,250850,Livramento (PB),LIVRAMENTO (PB),
1274,2020-06-18,21.0,0.0,1.0,0.0,484.76454293629996,0.0,34.0,250855,Logradouro (PB),LOGRADOURO (PB),
1275,2020-06-18,140.0,1.0,0.0,0.0,1070.3363914372999,7.6452599388,51.0,250860,Lucena (PB),LUCENA (PB),
1276,2020-06-18,10.0,0.0,0.0,0.0,249.43876278369999,0.0,28.0,250870,Mãe d'Água (PB),MÃE D'ÁGUA (PB),
1277,2020-06-18,19.0,0.0,0.0,0.0,329.9183886091,0.0,39.0,250880,Malta (PB),MALTA (PB),
1278,2020-06-18,675.0,11.0,1.0,0.0,1503.9436745243,24.508711733000002,49.0,250890,Mamanguape (PB),MAMANGUAPE (PB),
1279,2020-06-18,2.0,0.0,0.0,0.0,18.256503879500002,0.0,30.0,250900,Manaíra (PB),MANAÍRA (PB),
1280,2020-06-18,12.0,0.0,0.0,0.0,140.2196774947,0.0,22.0,250905,Marcação (PB),MARCAÇÃO (PB),
1281,2020-06-18,223.0,5.0,1.0,0.0,1021.2025461372999,22.8969180748,52.0,250910,Mari (PB),MARI (PB),
1282,2020-06-18,5.0,1.0,0.0,0.0,75.5629439323,15.112588786500002,54.0,250915,Marizópolis (PB),MARIZÓPOLIS (PB),
1283,2020-06-18,85.0,0.0,0.0,0.0,610.7199310246,0.0,43.0,250920,Massaranduba (PB),MASSARANDUBA (PB),
1284,2020-06-18,64.0,2.0,0.0,0.0,758.8332938108,23.7135404316,45.0,250930,Mataraca (PB),MATARACA (PB),
1285,2020-06-18,30.0,0.0,0.0,0.0,666.6666666666999,0.0,44.0,250933,Matinhas (PB),MATINHAS (PB),
1286,2020-06-18,7.0,1.0,0.0,0.0,240.71526822560003,34.387895460799996,30.0,250937,Mato Grosso (PB),MATO GROSSO (PB),
1287,2020-06-18,17.0,0.0,0.0,0.0,258.7912924342,0.0,40.0,250939,Maturéia (PB),MATURÉIA (PB),
1288,2020-06-18,32.0,1.0,0.0,0.0,240.89129780189998,7.5278530563,38.0,250940,Mogeiro (PB),MOGEIRO (PB),
1289,2020-06-18,24.0,0.0,0.0,0.0,423.35508908099996,0.0,31.0,250950,Montadas (PB),MONTADAS (PB),
1290,2020-06-18,49.0,1.0,0.0,1.0,147.4926253687,3.0100535789999996,48.0,250970,Monteiro (PB),MONTEIRO (PB),
1291,2020-06-18,92.0,1.0,0.0,0.0,929.1052312664,10.0989699051,46.0,250980,Mulungu (PB),MULUNGU (PB),
1292,2020-06-18,19.0,0.0,0.0,0.0,181.74861297110002,0.0,39.0,250990,Natuba (PB),NATUBA (PB),
1293,2020-06-18,4.0,1.0,0.0,0.0,54.787015477299995,13.6967538693,17.0,251000,Nazarezinho (PB),NAZAREZINHO (PB),
1294,2020-06-18,6.0,0.0,0.0,0.0,56.4015792442,0.0,45.0,251010,Nova Floresta (PB),NOVA FLORESTA (PB),
1295,2020-06-18,5.0,0.0,0.0,0.0,84.0477391158,0.0,37.0,251020,Nova Olinda (PB),NOVA OLINDA (PB),
1296,2020-06-18,16.0,0.0,0.0,0.0,326.1312678353,0.0,20.0,251030,Nova Palmeira (PB),NOVA PALMEIRA (PB),
1297,2020-06-18,25.0,0.0,0.0,0.0,383.0830524058,0.0,36.0,251040,Olho d'Água (PB),OLHO D'ÁGUA (PB),
1298,2020-06-18,13.0,0.0,0.0,0.0,330.6205493388,0.0,23.0,251050,Olivedos (PB),OLIVEDOS (PB),
1299,2020-06-10,1.0,0.0,0.0,0.0,32.9055610398,0.0,20.0,251060,Ouro Velho (PB),OURO VELHO (PB),
1300,2020-06-18,2.0,0.0,0.0,0.0,112.9305477132,0.0,9.0,251065,Parari (PB),PARARI (PB),
1301,2020-06-18,17.0,0.0,0.0,0.0,702.7697395618,0.0,34.0,251070,Passagem (PB),PASSAGEM (PB),
1302,2020-06-18,950.0,47.0,1.0,1.0,882.8586032247999,43.678267738500004,80.0,251080,Patos (PB),PATOS (PB),
1303,2020-06-18,52.0,1.0,0.0,0.0,421.1549364218,8.0991333927,32.0,251090,Paulista (PB),PAULISTA (PB),
1304,2020-06-18,17.0,0.0,0.0,0.0,216.7537931914,0.0,17.0,251110,Pedra Lavrada (PB),PEDRA LAVRADA (PB),
1305,2020-06-18,605.0,9.0,1.0,0.0,2125.9399817275,31.625553447199998,55.0,251120,Pedras de Fogo (PB),PEDRAS DE FOGO (PB),
1306,2020-06-18,30.0,2.0,0.0,0.0,186.6251944012,12.441679626700001,47.0,251130,Piancó (PB),PIANCÓ (PB),
1307,2020-06-18,54.0,0.0,0.0,0.0,288.7237341603,0.0,37.0,251140,Picuí (PB),PICUÍ (PB),
1308,2020-06-18,80.0,1.0,0.0,0.0,671.3098934296,8.3913736679,48.0,251150,Pilar (PB),PILAR (PB),
1309,2020-06-18,30.0,0.0,0.0,0.0,452.1477015825,0.0,44.0,251160,Pilões (PB),PILÕES (PB),
1310,2020-06-18,99.0,0.0,0.0,0.0,1989.5498392282998,0.0,48.0,251170,Pilõezinhos (PB),PILÕEZINHOS (PB),
1311,2020-06-18,45.0,0.0,0.0,0.0,425.3710180546,0.0,45.0,251180,Pirpirituba (PB),PIRPIRITUBA (PB),
1312,2020-06-18,352.0,4.0,0.0,0.0,1846.3152373459,20.9808549698,48.0,251190,Pitimbu (PB),PITIMBU (PB),
1313,2020-06-18,28.0,0.0,0.0,0.0,150.8295625943,0.0,42.0,251200,Pocinhos (PB),POCINHOS (PB),
1314,2020-06-18,104.0,0.0,0.0,0.0,317.0635041615,0.0,63.0,251210,Pombal (PB),POMBAL (PB),
