"id","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","user","name","x","verified","followers","image","siglapartido","deputadosfederais","senadores","ministrosbolsonaro","midia","governador","prefeitocapitais","candidatospresidente18","presidentes","partidos","comentaristaspoliticos","outrospoliticos","jornalistacolunista","canaisyoutube","justica","artistas","esporte","local","size","group","important"
"28340920",0,0.26,0.35,0.69,0.61,2.16,2.08,6.06,6.67,6.67,7.53,7.79,8.57,11.69,10.39,11.26,7.19,4.85,3.55,1.65,"samuelmoreira","Samuel Moreira",47.6686812235202,1,1155,"1050015476150128645/62fMKw-x_bigger.jpg","PSDB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.22225593841131,4,0
"92739280",0,0.18,0.53,1.84,1.67,2.02,2.63,6.06,6.15,5.88,8.08,6.85,9.13,9.04,10.18,10.97,7.02,7.46,3.25,1.05,"LucasRedecker","Lucas Redecker",46.7446174970195,1,1139,"1103731293601304576/-JkdO_-2_bigger.jpg","PSDB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.18009363525631,4,0
"92509126",0.46,1.73,1.28,1.55,2.46,3.74,4.56,6.56,7.2,7.75,6.2,6.47,7.38,8.3,8.02,8.11,8.3,4.92,3.37,1.64,"f_trad","Fábio Trad",45.5329304788852,0,1097,"1077736994350997509/gXXTSczM_bigger.jpg","PSD",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.06750552985391,4,0
"59151531",0.09,0.92,1.1,1.57,2.39,3.13,2.58,5.71,5.89,4.88,7.27,6.63,8.38,7.64,9.12,9.39,6.45,8.38,5.25,3.22,"confuciomoura","Confúcio Moura",51.8716177263767,1,1086,"1074786372337221632/uE8AEgW-_bigger.jpg","MDB",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.03754462372285,4,0
"74520134",0,0.56,0.84,1.58,2.23,2.51,4.56,5.86,6.88,8.47,8.74,6.88,8.28,9.02,9.3,8.84,7.53,4.56,2.79,0.56,"marciobiolchi","Márcio Biolchi",44.4720236276565,0,1075,"1073287867462500352/1EQTzJKU_bigger.jpg","MDB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.00738071404977,4,0
"109046897",0.47,0.84,1.22,2.43,1.68,3.46,2.9,6.92,7.95,8.14,10.01,9.07,9.82,8.7,8.23,7.11,4.77,3.46,1.96,0.84,"depflaviamorais","Flavia Morais",43.1402736513102,0,1069,"1115244352/23255_100000670637190_8063_q_bigger.jpg","PDT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7.99084087039274,4,0
"56689975",0.38,0.56,1.6,1.69,3.2,4.04,5.08,6.95,6.95,7.8,7.42,8.83,7.61,8.36,7.33,8.18,5.92,4.14,2.35,1.6,"FredCosta5133","Fred Costa",49.4214502124492,0,1065,"1103713738476142593/Dh-IS_mx_bigger.jpg","PATRI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7.97977989640465,4,0
"54412355",0.09,0.19,0.76,0.66,2.18,2.27,4.26,5.11,6.81,7.38,5.49,7.1,6.43,7.28,8.14,8.7,8.42,7.57,6.15,5.01,"nelsinhotrad","Senador Nelson Trad Filho",54.0524418257405,1,1057,"1097968188422320128/3EtZKBSa_bigger.png","PSD",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7.95757458246924,4,0
"125553515",0.1,0.3,0.49,0.69,1.29,3.56,3.76,4.95,7.91,7.22,9.89,8.41,9,9.89,7.52,9.99,6.53,5.04,2.47,0.99,"DepLuizCarlos","Luiz Carlos",46.1296943819526,0,1011,"1095749501795618816/cugpuM_A_bigger.png","PSDB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7.82766934836363,4,0
"267981392",0.3,0.4,0.91,1.21,1.72,3.54,4.85,4.85,7.07,7.37,8.48,10.71,8.79,9.8,9.19,9.39,5.56,3.03,1.72,1.11,"dep_alinegurgel","Deputada Aline Gurgel",44.7439785687027,0,990,"1099209747553751040/qbrFNCLA_bigger.jpg","PRB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7.76705257694424,4,0
"160554168",0.31,0.21,1.13,1.86,1.86,2.16,3.4,5.36,7.11,6.91,6.39,8.56,8.87,9.18,8.66,8.66,8.04,5.57,2.99,2.78,"SandroAlex5555","Sandro Alex",47.7788442386617,0,970,"1032429104891478017/uV0sf806_bigger.jpg","PSD",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7.70852008288621,4,0
"88185879",0.11,0.53,0.74,0.85,1.8,1.9,3.81,5.5,7.61,6.66,6.45,7.4,9.09,10.15,9.73,9.62,7.4,6.13,2.85,1.69,"eduardobarbosa_","EDUARDO BARBOSA",46.7023329916917,1,947,"1113493382817619968/TEGdDkLm_bigger.jpg","PSDB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7.64020435304488,4,0
